mi_quality,transcript_id,video_title,video_url,topic,utterance_id,interlocutor,timestamp,utterance_text,annotator_id,therapist_input_exists,therapist_input_subtype,reflection_exists,reflection_subtype,question_exists,question_subtype,main_therapist_behaviour,client_talk_type,Co_cat5,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,0,therapist,0:00:04,"There, um, what brings you in today?",5,FALSE,,FALSE,,TRUE,open,question,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,1,client,0:00:10,"I don't know. I'm just having a little bit of, uh, having a little bit of trouble dealing with, uh, my criminal history and, uh, you know, trying to stay on the right path, but, you know, um, it's just- it gets, you know, it gets kind of overwhelming, you know. Um, I really wanna be, you know, a good productive member of society, but at the same time, you know, I got this background that nobody will overlook, you know. So it kinda makes it like, well, what, you know, do I go back to what I know?I mean, you can only work for $5, $6, $7 an hour for so long, and it's really frustrating. It's causing, uh, some anger issues to resurface and some depression to resurface and, um, you know, and, um, I don't wanna fall back, you know.",5,,,,,,,,change,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,2,therapist,0:01:04,It's really getting in the way of you becoming who you wanna be.,5,FALSE,,TRUE,complex,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,3,client,0:01:07,"Yes, it is.",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,4,therapist,0:01:08,Yeah. So what-what-what about your criminal record is blocking you from getting where you wanna be?,5,FALSE,,FALSE,,TRUE,open,question,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,5,client,0:01:19,"I don't know what about it is, um—",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,6,therapist,0:01:22,"There's a, uh, your record has a conviction?",5,FALSE,,FALSE,,TRUE,closed,question,,q,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,7,client,0:01:24,Yeah. It has a felony conviction on it.,5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,8,therapist,0:01:26,"Okay. Ah, there's-",5,FALSE,,TRUE,simple,FALSE,,reflection,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,9,client,0:01:27,"And, uh—",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,10,therapist,0:01:28,#NAME?,5,FALSE,,TRUE,simple,FALSE,,reflection,,ref,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,11,client,0:01:29,"Yeah, it is. And it's- I hadn't anticipated that it would have been-- You know, so at the time, it was just like, ""Okay, cool. I'm not going to jail.""",5,,,,,,,,neutral,,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,12,therapist,0:01:40,Mm-hmm.,5,FALSE,,FALSE,,FALSE,,other,,other,
high,100,I Can't Get a Break,https://www.youtube.com/watch?v=6lq3znGhveo,reducing recidivism,13,client,0:01:41,"You know, and, um, now, it's like, okay, so this is more like a life sentence than it was a four-year sentence that they were offering. You know, I mean, I think it would have been bad either way, but, um, I hadn't anticipated that this was gonna be this difficult, especially since I went back to school and, you know, uh, got a degree and actually want to do, you know, some, um, corporate level or, you know, professional type of work.",5,,,,,,,,sustain,,
